VGG type: VGG16
Epoch  1	Train Accuracy: 24.7832 %	Val Accuracy: 22.3461 %
Epoch  2	Train Accuracy: 28.0609 %	Val Accuracy: 33.9370 %
Epoch  3	Train Accuracy: 37.1779 %	Val Accuracy: 47.3670 %
Epoch  4	Train Accuracy: 45.0594 %	Val Accuracy: 51.9643 %
Epoch  5	Train Accuracy: 50.2696 %	Val Accuracy: 57.1190 %
Epoch  6	Train Accuracy: 53.4564 %	Val Accuracy: 58.2892 %
Epoch  7	Train Accuracy: 55.5780 %	Val Accuracy: 59.9053 %
Epoch  8	Train Accuracy: 57.2848 %	Val Accuracy: 62.4408 %
Epoch  9	Train Accuracy: 58.6886 %	Val Accuracy: 64.1683 %
Epoch 10	Train Accuracy: 59.6945 %	Val Accuracy: 62.8309 %
Epoch 11	Train Accuracy: 60.6130 %	Val Accuracy: 62.8866 %
Epoch 12	Train Accuracy: 61.4177 %	Val Accuracy: 64.8091 %
Epoch 13	Train Accuracy: 62.3219 %	Val Accuracy: 64.6977 %
Epoch 14	Train Accuracy: 62.8785 %	Val Accuracy: 65.3664 %
Epoch 15	Train Accuracy: 63.9340 %	Val Accuracy: 67.4840 %
Epoch 16	Train Accuracy: 64.3063 %	Val Accuracy: 65.5057 %
Epoch 17	Train Accuracy: 65.1385 %	Val Accuracy: 65.7843 %
Epoch 18	Train Accuracy: 65.8055 %	Val Accuracy: 68.0134 %
Epoch 19	Train Accuracy: 66.4408 %	Val Accuracy: 65.7843 %
Epoch 20	Train Accuracy: 66.9887 %	Val Accuracy: 67.9576 %
Epoch 21	Train Accuracy: 67.7864 %	Val Accuracy: 68.5985 %
Epoch 22	Train Accuracy: 68.1351 %	Val Accuracy: 68.7657 %
Epoch 23	Train Accuracy: 68.8066 %	Val Accuracy: 68.4870 %
Epoch 24	Train Accuracy: 69.2825 %	Val Accuracy: 68.4035 %
Epoch 25	Train Accuracy: 70.0084 %	Val Accuracy: 68.5428 %
Epoch 26	Train Accuracy: 70.4957 %	Val Accuracy: 68.0691 %
Epoch 27	Train Accuracy: 70.8827 %	Val Accuracy: 70.7718 %
Epoch 28	Train Accuracy: 71.6131 %	Val Accuracy: 68.9886 %
Epoch 29	Train Accuracy: 72.1784 %	Val Accuracy: 69.0443 %
Epoch 30	Train Accuracy: 72.8245 %	Val Accuracy: 69.3787 %
Epoch 31	Train Accuracy: 73.2732 %	Val Accuracy: 68.8771 %
Epoch 32	Train Accuracy: 73.5731 %	Val Accuracy: 70.8554 %
Epoch 33	Train Accuracy: 74.1639 %	Val Accuracy: 68.6542 %
Epoch 34	Train Accuracy: 74.7233 %	Val Accuracy: 71.0783 %
Epoch 35	Train Accuracy: 75.2740 %	Val Accuracy: 71.6913 %
Epoch 36	Train Accuracy: 75.7944 %	Val Accuracy: 71.5520 %
Epoch 37	Train Accuracy: 76.3719 %	Val Accuracy: 70.8554 %
Epoch 38	Train Accuracy: 76.9288 %	Val Accuracy: 72.0814 %
Epoch 39	Train Accuracy: 77.5321 %	Val Accuracy: 70.7997 %
Epoch 40	Train Accuracy: 78.1006 %	Val Accuracy: 70.8833 %
Epoch 41	Train Accuracy: 78.2201 %	Val Accuracy: 70.8275 %
Epoch 42	Train Accuracy: 78.6819 %	Val Accuracy: 70.4653 %
Epoch 43	Train Accuracy: 79.4131 %	Val Accuracy: 70.2424 %
Epoch 44	Train Accuracy: 79.8119 %	Val Accuracy: 70.8833 %
Epoch 45	Train Accuracy: 81.6963 %	Val Accuracy: 71.3569 %
Epoch 46	Train Accuracy: 82.5950 %	Val Accuracy: 71.8027 %
Epoch 47	Train Accuracy: 82.8820 %	Val Accuracy: 71.8306 %
Epoch 48	Train Accuracy: 83.2809 %	Val Accuracy: 72.1092 %
Epoch 49	Train Accuracy: 83.7163 %	Val Accuracy: 72.1092 %
Epoch 50	Train Accuracy: 83.9131 %	Val Accuracy: 71.8306 %
Epoch 51	Train Accuracy: 84.3185 %	Val Accuracy: 71.9142 %
Epoch 52	Train Accuracy: 84.7504 %	Val Accuracy: 72.0256 %
Epoch 53	Train Accuracy: 84.8448 %	Val Accuracy: 71.6634 %
Epoch 54	Train Accuracy: 85.2412 %	Val Accuracy: 70.7997 %
Epoch 55	Train Accuracy: 86.8191 %	Val Accuracy: 72.5272 %
Epoch 56	Train Accuracy: 87.1246 %	Val Accuracy: 73.2237 %
Epoch 57	Train Accuracy: 87.4778 %	Val Accuracy: 72.4436 %
Epoch 58	Train Accuracy: 87.7098 %	Val Accuracy: 71.9978 %
Epoch 59	Train Accuracy: 88.1093 %	Val Accuracy: 71.9420 %
Epoch 60	Train Accuracy: 88.2034 %	Val Accuracy: 72.4993 %
Epoch 61	Train Accuracy: 88.4252 %	Val Accuracy: 71.9699 %
Epoch 62	Train Accuracy: 88.6043 %	Val Accuracy: 72.6108 %
Epoch 63	Train Accuracy: 89.4827 %	Val Accuracy: 72.8058 %
Epoch 64	Train Accuracy: 89.9533 %	Val Accuracy: 72.4993 %
Epoch 65	Train Accuracy: 89.9829 %	Val Accuracy: 72.4157 %
Epoch 66	Train Accuracy: 90.1937 %	Val Accuracy: 72.8894 %
Epoch 67	Train Accuracy: 90.4553 %	Val Accuracy: 72.8337 %
Epoch 68	Train Accuracy: 90.5504 %	Val Accuracy: 73.0566 %
Epoch 69	Train Accuracy: 91.3574 %	Val Accuracy: 72.4714 %
Epoch 70	Train Accuracy: 91.5152 %	Val Accuracy: 73.1959 %
Epoch 71	Train Accuracy: 91.7301 %	Val Accuracy: 73.4466 %
Epoch 72	Train Accuracy: 91.6598 %	Val Accuracy: 73.3909 %
Epoch 73	Train Accuracy: 91.7367 %	Val Accuracy: 72.6665 %
Epoch 74	Train Accuracy: 91.8141 %	Val Accuracy: 73.5302 %
Epoch 75	Train Accuracy: 92.0523 %	Val Accuracy: 73.0566 %
Epoch 76	Train Accuracy: 92.0506 %	Val Accuracy: 73.8367 %
Epoch 77	Train Accuracy: 92.1760 %	Val Accuracy: 72.7222 %
Epoch 78	Train Accuracy: 92.1418 %	Val Accuracy: 73.2516 %
Epoch 79	Train Accuracy: 92.2613 %	Val Accuracy: 73.0844 %
Epoch 80	Train Accuracy: 92.2968 %	Val Accuracy: 73.0008 %
Epoch 81	Train Accuracy: 92.3766 %	Val Accuracy: 73.2237 %
Epoch 82	Train Accuracy: 92.4351 %	Val Accuracy: 72.8894 %
Epoch 83	Train Accuracy: 92.9357 %	Val Accuracy: 73.0844 %
Epoch 84	Train Accuracy: 93.0450 %	Val Accuracy: 73.3352 %
Epoch 85	Train Accuracy: 93.0719 %	Val Accuracy: 73.2516 %
Epoch 86	Train Accuracy: 93.2436 %	Val Accuracy: 73.0844 %
Epoch 87	Train Accuracy: 93.1690 %	Val Accuracy: 73.0566 %
Epoch 88	Train Accuracy: 93.3240 %	Val Accuracy: 72.5829 %
Epoch 89	Train Accuracy: 93.6344 %	Val Accuracy: 73.5024 %
Epoch 90	Train Accuracy: 93.7588 %	Val Accuracy: 73.2795 %
Epoch 91	Train Accuracy: 93.6968 %	Val Accuracy: 73.6695 %
Epoch 92	Train Accuracy: 93.8012 %	Val Accuracy: 73.8646 %
Epoch 93	Train Accuracy: 93.8378 %	Val Accuracy: 73.4466 %
Epoch 94	Train Accuracy: 93.9691 %	Val Accuracy: 73.2237 %
Epoch 95	Train Accuracy: 94.0165 %	Val Accuracy: 73.0566 %
Epoch 96	Train Accuracy: 94.0088 %	Val Accuracy: 73.3073 %
Epoch 97	Train Accuracy: 94.0715 %	Val Accuracy: 73.3631 %
Epoch 98	Train Accuracy: 94.0712 %	Val Accuracy: 73.0844 %
Epoch 99	Train Accuracy: 94.4477 %	Val Accuracy: 73.3909 %
Epoch 100	Train Accuracy: 94.3310 %	Val Accuracy: 73.8924 %

Test Accuracy: 71.6913 %
Test Loss: 0.029217
